許可證字號,類別,中文品名,核可日期,申請商,證況,保健功效相關成分,保健功效,保健功效宣稱,警語,注意事項,網址
衛部健食字第A00376號,衛署健食字,康貝特能量飲料,2019/06/19,葡萄王生技股份有限公司,核可,牛磺酸(Taurine) ：1470毫克/150毫升(即9.8 ± 1.96毫克/毫升),護肝,「經動物實驗結果，攝取本產品有助於延緩四氯化碳誘導之化學性肝損傷或降低其危險因子。」,1. AST、ALT 值持續異常升高，可能是肝臟疾病所引起，應立即就醫。2. 支鏈有機酸尿症(例如楓糖尿症)患者應避免食用。,1.本產品供保健用，請依建議攝取量食用。2.多食無益。3.請徵詢醫師、藥師或營養師有關食用本品之意見;均衡的飲食及適當運動，為身體健康之基礎。4.飲用前請確認瓶蓋完整，並小心蓋緣刮手。5.本產品使用之菌絲體為液體培養。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=440
衛部健食字第A00377號,衛署健食字,鎂娜®紅景天膠囊,2019/08/02,豐山生技醫藥品股份有限公司,失效,絡薩維(Rosavin )含量3.6±0.72 毫克/顆膠囊,抗疲勞,「經動物試驗結果，攝取本產品有助於延緩運動後疲勞的發生及促進運動後疲勞消除。」,1. 15歲以下小孩、懷孕或授乳期間婦女，請勿食用。2. 有胃潰瘍體質者，建議應於餐後食用；對本產品有過敏反應者，請勿食用。,1. 本產品非藥品，供保健用，罹病者仍需就醫。2. 請依建議攝取量食用，勿過量。3. 均衡的飲食及適當運動為身體健康之基礎。4. 若有服用藥物，請先洽詢醫師、藥師或營養師有關食用本品之意見，再決定是否食用。5. 食用後請即關緊瓶蓋或收妥，防止受潮；置於兒童不易取得處避免誤食。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=445
衛部健食字第A00378號,衛署健食字,御沛方九將軍膠囊,2019/07/25,源穎生技股份有限公司,核可,類薑黃素 (以Curcumin、Demethoxycurcumin Bisdemethoxycurcumin計) 104 -156毫克/公克,護肝,經動物實驗結果，攝取本產品有助於延緩經酒精誘導所引起之脂肪肝或降低其危險因子。,1. AST(GOT)、ALT(GPT)值持續異常升高可能是肝臟疾病所引起，應立即就醫。2. 如過敏體質、孕乳婦、手術前、傷口癒合前、請洽詢醫師或營養師有關食用本品之意見。3. 有罹患紅斑性狼瘡者請勿食用。,1. 均衡的飲食及適當的運動為身體健康之基礎。2. 本產品非藥品，供保健用，罹病者仍需就醫。3. 請依建議攝取量食用，勿過量。4. 請放置兒童不易取得處。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=444
衛部健食字第A00379號,衛署健食字,正甘能膠囊,2019/08/08,泰宗生物科技股份有限公司,核可,本產品以腺苷(Adenosine)為品管指標成分，內容物515mg±10% /粒；每粒膠囊含腺苷(Adenosine) 1.442mg±20% /粒。,護肝,(1)經動物實驗結果，攝取本產品有助於延緩硫代乙醯胺誘導之肝纖維化或降低其危險因子。(2)經動物實驗結果，攝取本產品有助於延緩經酒精誘導所引起之脂肪肝或降低其危險因子。,無。,1.懷孕、授乳、服用藥物者，請先洽詢醫師或營養師，食用本產品之意見。2.請置於陰涼乾燥處，避免高溫和日照。3.本產品若有破損或完封不良，請勿食用。4.本產品非藥品，供保健用，罹病者仍需就醫。5.請依建議攝取量食用，勿過量,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1446
衛部健食字第A00380號,衛署健食字,台酒生技β-聚葡萄糖膠囊,2019/09/11,臺灣菸酒股份有限公司,核可,每顆膠囊495毫克，內容物400毫克，含保健功效相關成分β-聚葡萄糖 225.0±45.0毫克。,免疫調節,經動物實驗結果：1.有助於促進免疫細胞增生。2.有助於促進吞噬細胞活性。3.有助於促進自然殺手細胞活性。4.有助於調節特異性細胞激素分泌(增加IFN-γ及減少IL-4、IL-5)。,,(1)本產品非藥品，供保健用，罹病者仍需就醫。(2)請依建議攝取量食用，勿過量。(3)請徵詢醫師、藥師或營養師有關食用本品之意見；均衡飲食及適當運動為身體健康之基礎。(4)孕婦、哺乳中婦女或有任何疾病者，請與醫師洽談後食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1449
衛部健食字第A00381號,衛署健食字,極品牛樟芝菌絲體膠囊,2019/08/05,合一生技股份有限公司,核可,以4-安卓奎諾爾B (4-acetylantroquinonol B)為品質管制指標；每顆含0.215~0.315 mg 4-acetylantroquinonol B,護肝,根據動物試驗結果，對四氯化碳誘發之大鼠肝臟損傷，有助於降低血清中AST (GOT)及ALT (GPT)值。,1.AST(GOT)、ALT(GPT)值持續異常升高可能是肝臟疾病所引起，應立即就醫。2.嬰幼兒、孕婦、哺餵母乳者，如欲食用本產品，請洽詢醫師或醫療專業人員。,1.目前接受醫師治療者，請與醫師商量後再食用。2.本產品非藥品，供保健用，罹病者仍需就醫。3.避免孩童自行取用。4.請依建議攝取量食用，勿過量。5.均衡飲食及適當運動，為身體健康之基礎。6.食用過量可能有安全疑慮。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1445
衛部健食字第A00382號,衛署健食字,威瑪舒培活力錠,2019/12/03,易陞植物生技有限公司,核可,保健功效之相關成分含量，每份（3錠）含紅景天苷(Salidroside) 2.808~4.212毫克(紅景天苷(Salidroside): 1.44~2.16 mg/g ),抗疲勞,經動物實驗結果：攝取本產品有助於延緩運動後疲勞的發生及促進運動後疲勞消除。,懷孕、15歲以下小孩或授乳期間婦女，請勿食用。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量4.一日請勿超過3錠，多食無益。5.本產品含有乳糖，有乳糖不耐症者，食用前請先洽詢醫師或營養師意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1453
衛部健食字第A00383號,衛署健食字,農純鄉滴雞精,2019/11/12,吉康食品股份有限公司,核可,以總支鏈胺基酸(以Leucine、Isoleucine、Valine計)為品管指標成分：0.288 ~ 0.432% (174 ~ 262毫克/包),抗疲勞,經動物試驗結果，攝取本產品有助於促進運動後疲勞消除。,支鏈有機酸尿症(楓糖尿症)患者應避免食用。,1.本產品供保健用，請依建議攝取量食用。2.產品開封後請立即食用完畢,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1451
衛部健食字第A00384號,衛署健食字,品純萃鱸魚精,2019/12/03,食安生技股份有限公司,核可,總支鏈胺基酸(以白胺酸、異白胺酸、纈胺酸計)：272~408 mg/60 g(包),抗疲勞,經動物實驗結果，有助於延緩運動後疲勞發生。,1.支鏈有機酸尿症(例如楓糖尿症)患者應避免食用。2.過敏原資訊：本產品含有魚。,本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1452
衛部健食字第A00385號,衛署健食字,金肽康五味子錠,2019/12/16,德康生物科技股份有限公司,核可,五味子乙素(Schisandrin B) 0.74~1.1 mg/g 芝麻素(Sesamin) 9.6~14.4 mg/g,護肝,經動物實驗結果，攝取本產品有助於延緩四氯化碳誘導之化學性肝損傷。,1.AST(GOT)、ALT(GPT)值持續異常升高可能是肝臟疾病所引起，應立即就醫。2.如過敏體質、孕婦、手術前、傷口癒合前、請洽詢醫師或營養師有關食用本品之意見。,1.請洽詢醫師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1454
衛部健食字第A00386號,衛署健食字,黃金組合甘甘好膠囊,2019/12/16,康霈生技股份有限公司,核可,每粒膠囊627毫克(內容物525毫克)含1.薑黃素(Curcumin) 85 ± 17毫克/粒2.人參皂苷Rb1 4.0 ± 0.8毫克/粒,護肝,經動物實驗結果，攝取本產品有助於延緩四氯化碳誘導之化學性肝損傷。,1.一日請勿超過1粒，多食無益。2.食用後如有不適，請停止食用。3.本產品含有乳糖，不適合對其過敏者食用。,1.本產品非藥品，供保健用，罹病者仍需就醫。2.請依建議攝取量食用，勿過量。3.請徵詢醫師、藥師或營養師有關食用本產品之意見；均衡的飲食及適當的運動為身體健康之基礎。4.重大疾病及懷孕、哺乳婦女，請先洽詢醫師意見後再食用。5.請置於嬰幼兒不易取得之處。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1455
衛部健食字第A00387號,衛署健食字,健康3D紅麴+鉻雙效錠,2019/12/24,統一企業股份有限公司,核可,Monacolin K：8.0~12.0毫克/份 三價鉻：132.8~199.2微克/份 ##三價鉻為調節血脂動物實驗品管指標成分,"調節血脂, 調節血糖",(一)調節血脂：經人體食用研究結果：1.有助於降低血中總膽固醇。2.有助於降低血中三酸甘油酯。3.有助於降低血中低密度脂蛋白膽固醇。經動物實驗結果：1.有助於降低血中總膽固醇。 2.有助於降低血中三酸甘油酯。3.有助於降低血中低密度脂蛋白膽固醇(LDL-C)。4.有助於降低血中低密度脂蛋白膽固醇與高密度脂蛋白膽固醇比值(LDL-C/HDL-C)。(二)調節血糖：經動物實驗結果：對禁食血糖值偏高者，具有輔助調節血糖作用。,1.若正值懷孕及哺乳期間請勿食用。2.患有嚴重疾病、感染症、肝病或經過外科手術等情況，請勿食用。3.是否適用於膽固醇之控制，應先徵詢醫師。4.本品與降血脂藥(statin及fibrate類藥物)、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,1.本產品非藥品，供保健用，罹病者仍需就醫。2.請依建議攝取量食用，勿過量。3.請洽詢醫師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。4.一日請勿超過2錠，多食無益。5.請放置兒童不易拿取處。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1456
衛部健食字第A00388號,衛署健食字,桂格萃雞精,2020/01/30,佳格食品股份有限公司,核可,『總支鏈胺基酸「Leucine (白胺酸)、Isoleucine (異白胺酸)、Valine (纈胺酸)」：每68毫升含359~539毫克』,抗疲勞,經動物實驗結果：有助於延緩運動後疲勞的發生。,支鏈有機酸尿症(例如楓糖尿症)患者應避免食用。,1.請洽詢醫師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康的基礎。2.健康食品不具治療、矯正人類疾病之醫療效能。3.本產品供保健用，請依建議攝取量食用。4.多食無益。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1459
衛部健食字第A00389號,衛署健食字,維士比倍勁X水補給飲,2020/01/13,三洋藥品工業股份有限公司,核可,牛磺酸 0.28% ~ 0.42%,抗疲勞,經動物實驗結果，攝取本產品有助於延緩運動後疲勞的發生及促進運動後疲勞消除。,,1. 請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2. 本產品供保健用，請依建議攝取量食用。3. 本生產線亦生產含麩質之穀物、大豆製品的產品。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1457
衛部健食字第A00390號,衛署健食字,挺固錠,2020/01/13,臺鹽實業股份有限公司,核可,Daidzein 0.84±0.16% (10.43±1.99毫克/2錠)Genistein 0.84±0.16% (10.43±1.99毫克/2錠),骨質保健,經動物實驗結果，攝取本產品可能有助於延緩骨流失。,1.不建議兒童、少年、孕婦、哺乳期婦女、婦科腫瘤患者或有其家族病史者食用。2.異黃酮(Isoflavones)每日食用限量為50毫克以下。3.本產品含有對特殊過敏體質者致過敏性之蝦、蟹、牛奶、大豆及其製品。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。4.一日請勿超過2錠，多食無益。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1458
衛部健食字第A00391號,衛署健食字,賢者之食桌 纖維粉末包,2020/02/24,金車大塚股份有限公司,核可,總膳食纖維(含難消化性麥芽糊精): 5~6 g/ 份,"調節血脂, 調節血糖",【調節血糖】經動物實驗結果：對禁食血糖值偏高者，具有輔助調節血糖作用。【調節血脂】經動物實驗結果：有助於降低血中總膽固醇、 有助於降低血中三酸甘油酯、有助於降低血中低密度脂蛋白膽固醇。,1.本產品含難消化性麥芽糊精，食用後可能產生排氣與脹氣現象，若有不適者，請停止食用 。2.本產品非屬治療及矯正疾病用藥品，糖尿病病人仍需就醫治療。,1.請洽詢醫師或營養師有關食用本品之意見，均衡的飲食及適當的運動為身體健康之基礎 。2.本產品為健康食品，不能取代正規醫療及相關藥物。3.本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1460
衛部健食字第A00392號,衛署健食字,愛健萬丹紅紅豆水,2020/04/27,愛之味股份有限公司,核可,菊苣纖維 (Inulin) 1.2～1.8公克/100 毫升,不易形成體脂肪,經動物實驗結果，有助於不易形成體脂肪。在嚴謹的營養均衡與熱量控制，以及適當的運動條件下，適量攝取本產品有助於不易形成體脂肪。,本品含菊苣纖維，飲用後可能產生脹氣及排氣等現象，如有不適者，請停止飲用。,(1) 請洽詢醫師或營養師有關飲用本產品之意見；均衡的飲食及適當的運動為身體健康之基礎。(2) 本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1463
衛部健食字第A00393號,衛署健食字,金車補給園薑黃萃取物+GSH複方膠囊,2020/05/18,金車股份有限公司,核可,每1粒膠囊類薑黃素 (以Curcumin、Bisdemethoxycurcumin及Demethoxycurcumin計) 200 ± 40毫克穀胱甘肽 125 ± 25毫克,護肝,經動物實驗結果，攝取本產品有助於延緩或降低經酒精誘導所引起之危險因子。,1.對穀胱甘肽過敏者、孕婦、哺乳婦女及嬰幼兒應避免食用。2.一日請勿超過1粒、多食無益。,1. 本產品非藥品，供保健用，罹病者仍需就醫。2. 請依建議攝取量食用，勿過量。3. 請保有健康飲食習慣，維持適當體重。4. 請洽詢醫師或營養師有關食用本品之意見；均衡飲食及適當運動為身體健康之基礎。5. 若正值服用藥物等期間，請先洽詢醫師意見再決定是否食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1464
衛部健食字第A00246號(本證失效),衛署健食字,康伯®食前健唐®錠,2014/02/07,漢和健康素材有限公司,失效,異黃酮(Daidzein、Glycitein、Genistein),調節血糖,經實驗結果證實：本產品具有下列功效：對禁食血糖偏高者，具有輔助調節作用。,1.本產品非屬治療及矯正疾病用藥品，糖尿病患者仍需就醫治療2.本產品不具第一型糖尿病患者之血糖調節作用3.孕婦、疾病患者、腸胃等外科術後者請先洽詢醫師再服用4.請依建議攝取量食用，多食無益,請洽詢醫師、藥師或營養師有關食用本品之意見；均衡飲食及適當運動為身體健康之基礎,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=255
衛部健食字第A00247號,衛署健食字,高纖馬鈴薯濃湯,2014/09/17,馬玉山食品工業股份有限公司,核可,總膳食纖維(含難消化性麥芽糊精)(Indigestible Maltodextrin),胃腸功能改善,「經動物實驗結果：有助於促進胃腸運動。」,1.多食無益。2.本產品不能治療矯正任何疾病，有病者仍需就醫。3.本產品含難消化性麥芽糊精，食用後可能產生排氣與脹氣現象，若有不適者，請停止食用。,1.本產品供保健用，請依建議攝取量食用。2.請洽詢醫師或營養師有關食用本品之意見，均衡的飲食及適當的運動為身體健康之基礎。,http://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=284
衛部健食字第A00248號,衛署健食字,膳纖熟飯 健康雙麥飯,2014/04/07,華強實業股份有限公司,核可,β-glucan,調節血脂,經動物實驗結果，有助於降低血清中總膽固醇。,,攝取本產品應取代等量之日常榖類飲食。本產品是健康食品，非治療及矯正疾病的藥品。請洽詢醫師或營養師有關食用本產品之意見；均衡的飲食及適當的運動為身體健康的基礎。本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=260
衛部健食字第A00249號,衛署健食字,保衛參,2014/03/07,信東生技股份有限公司園區分公司,核可,人參配醣體,胃腸功能改善,經動物實驗結果，有助於胃黏膜之保護作用。,勿超過建議用量，若有不適情況產生，應立即停止食用並就醫。孕婦或病患服藥期間不建議同時食用本產品。,請洽詢醫師或營養師有關食用本品的意見，同時注意均衡的飲食與良好衛生習慣是胃腸保健的好方法。本產品不具醫療效能。本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=256
衛部健食字第A00250號,衛署健食字,健康3D錠狀食品,2014/01/28,統一企業股份有限公司,核可,Monacolin K,"調節血脂, 調節血糖",(一)調節血脂：經動物實驗結果，有助於降低血中總膽固醇。(二)調節血糖：經動物實驗結果，對禁食血糖值偏高者，具有輔助調節作用。,本品與降血脂藥(statin 及 fibrate 類藥物)、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,1.本產品非藥品，供保健用，罹病者仍需就醫。2.請依建議攝取量食用，勿過量。3.請洽詢醫師或營養師有關食用本品之意見，均衡的飲食及適當的運動為身體健康之基礎。4.糖尿病患者，仍需就醫治療,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=257
衛部健食字第A00251號,衛署健食字,麗豐益生暢粉末,2014/03/19,麗豐實業股份有限公司,核可,總活性乳酸菌,胃腸功能改善,經人體食用研究結果：有助於增加腸內益生菌。,本產品含難消化性麥芽糊精，食用後可能產生排氣與脹氣現象，如有不適者，請停止食用。,1.本產品供保健用，請依建議攝取量食用。2.多食無益。3.請洽詢醫師或營養師有關食用本品之意見。4.均衡的飲食及適當的運動為身體健康之基礎。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=258
衛部健食字第A00252號,衛署健食字,TS6®健康有益菌,2014/04/14,天賜爾生物科技股份有限公司,核可,總乳酸菌(Lactic Acid Bacteria),胃腸功能改善,經動物實驗結果，有助於增加腸內益生菌、有助於減少腸內有害菌、有助於改善腸內細菌菌相。,無。,1.本產品供保健用，請依建議攝取量食用。2.請洽詢醫師或營養師有關食用本品之意見。3.均衡的飲食及適當的運動為身體健康之基礎。4.本產品含乳糖，乳糖不耐者請洽詢醫師或營養師有關食用本品之意見。5.本產品為保持原有風味及活菌數，不做二次加工，致劑型顆粒大小不一、口感或有差異。6.本產品含牛奶、大豆分離蛋白。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=265
衛部健食字第A00253號,衛署健食字,優生北蟲草(蛹蟲草)子實體膠囊,2014/04/14,優生生物科技股份有限公司,核可,蟲草素(Cordycepin)及腺苷(Adenosine)為品質管制指標成分,護肝,根據動物實驗結果，對四氯化碳誘發之大鼠肝臟損傷，有助於降低血清中AST(GOT)、ALT(GPT)值。,1.AST(GOT)、ALT(GPT)持續異常升高可能是肝病變所引起，應立即就醫。2.正值懷孕、授乳或服用藥物者，請先洽詢醫師意見，再決定是否服用。3.不建議嬰幼兒、兒童、孕婦與真菌過敏者使用。4.一日請勿超過六粒。,1.均衡飲食及適當運動為身體健康之基礎；請洽詢醫師或營養師有關食用本品之意見。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=262
衛部健食字第A00254號,衛署健食字,賜百齡®藍藻錠,2014/08/04,南寶國際生物科技股份有限公司,核可,藻藍素,免疫調節,經動物實驗結果：(1)有助於促進吞噬細胞活性。(2)有助於增加血清中IgM抗體生成。,有免疫相關疾病者，請謹慎食用或諮詢醫師的意見。,*本產品非藥品，僅供保健用，罹病者仍需就醫。 *請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=282
衛部健食字第A00255號(本證失效),衛署健食字,綠膳纖膠囊,2014/04/18,健康美麗股份有限公司,失效,兒茶素,不易形成體脂肪,「經動物實驗證實：有助於減少體脂肪之形成。」,1.本品含有蘆薈，孕婦忌食。2.本品含有乳糖28.99%，有乳糖不耐症者，請洽詢醫師或營養師有關食用本品之意見。3.兒童、孕婦、哺餵母乳者、老年人及心血管疾病者不宜使用。4.不得與咖啡因產品同時使用。5.服用藥物者，再使用前須先諮詢醫療人員。,1.請保有健康飲食習慣，維持適當體重。2.在嚴謹的營養均衡與熱量控制，以及適當的運動條件下，適量攝取本產品有助於不易形成體脂肪。3.請洽詢醫師或營養師有關食用本品之意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=263
衛部健食字第A00256號,衛署健食字,御茶園特撰日式綠茶,2014/04/28,維他露食品股份有限公司,核可,兒茶素,調節血脂,「經動物實驗結果:有助於降低血清三酸甘油酯。」,,請洽詢醫師或營養師有關食用本品之意見，均衡的飲食及適當的運動為身體健康之基礎。本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=264
衛部健食字第A00257號,衛署健食字,福樂鈣多多健康機能牛乳-全脂配方,2014/09/16,佳格食品股份有限公司,核可,鈣,骨質保健,「本產品有助於：增加鈣質之生物利用率，促進鈣質吸收」,有乳糖不耐症者，食用前請先洽詢醫師或營養師意見。,(1)本產品含豐富鈣質，如有白色沉澱，請搖勻後飲用。 (2)本產品供保健用，請依建議攝取量食用。(3)請洽詢醫師或營養師有關食用本產品之意見；均衡的飲食及適當的運動為身體健康的基礎。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=280
衛部健食字第A00258號(本證失效),衛署健食字,貝能菇蕈多醣體粉末,2014/08/27,上宏茂生物科技股份有限公司,註銷,β-glucan,免疫調節,「經動物實驗證實：(1)有助於調節免疫球蛋白的生成。(2)有助於促進自然殺手細胞機能之活化。」,,,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=274
衛部健食字第A00259號,衛署健食字,台糖鈣股力(粉末食品),2014/08/22,台灣糖業股份有限公司,核可,果寡醣(以1-Kestose+Nystose計)，鈣,骨質保健,經動物實驗結果，攝取本產品可能有助於延緩骨流失。,無,1.本產品為日常保健，請遵照建議食用量使用。2.患有疾病或特殊體質者，請洽詢醫師或營養師之意見決定是否食用，多食無益。3.均衡的飲食及適當的運動為身體健康之基礎。4.本產品含有蛋、牛奶、燕麥、大豆及其製品。。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=275
衛部健食字第A00260號,衛署健食字,大發里亞濃縮細粒,2014/08/05,臻里生物科技股份有限公司,核可,每1包2公克含品管指標成分(-)-Epicatechin-3-O-β-D- allopyranoside,骨質保健,「經動物實驗結果，攝取本產品可能有助於延緩骨流失。」,1.請依建議攝取量食用，多食無益。孕婦及哺乳婦女不要使用。2.本產品為健康食品不能取代正規醫療及相關藥品。3.本產品不能治療矯正任何疾病，有病仍需就醫。4.本產品含有蝦或蟹殼來源之葡萄糖胺鹽酸鹽與豬來源之膠原蛋白，如果您有過敏症，在食用本產品前，應和醫生商談。,1.本產品供保健用，請依建議攝取量食用。2.請放置於乾燥陰涼處，避免高溫和日照。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=272
衛部健食字第A00261號,衛署健食字,洛神花健康膠囊,2014/09/17,愛之味股份有限公司,核可,沒食子酸gallic acid,"不易形成體脂肪, 護肝",(1)經動物實驗結果，有助於不易形成體脂肪。在嚴謹的營養均衡與熱量控制，以及適當的運動條件下，適量攝取本產品有助於不易形成體脂肪。(2)經動物實驗結果，攝取本產品有助於延緩四氯化碳誘導之化學性肝損傷或降低其危險因子。,,1.請洽詢醫師或營養師有關食用本產品之意見。2.均衡的飲食及適當的運動為身體健康之基礎。3.食用前開封，如發現包裝破損或任何品質異常，請將整瓶產品交回公司更換新品。4.本產品非藥品，供保健用，罹病者仍需就醫。5.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=279
衛部健食字第A00262號,衛署健食字,健康蕎麥茶,2014/12/23,光泉牧場股份有限公司,核可,菊苣纖維,不易形成體脂肪,經動物實驗結果：有助於減少體脂肪之形成。,本產品含有菊苣纖維，飲用後會促進腸道蠕動，並產生脹氣及排氣現象，若有不適者請停止飲用,1. 本產品供保健用，請依建議攝取量食用。2. 在嚴謹的營養均衡與熱量控制，以及適當的運動條件下，適量攝取本產品有助於不易形成體脂肪。請洽詢醫師或營養師有關食用本產品之意見，均衡的飲食及適當的運動為身體健康的基礎；本產品為健康食品不能取代正規醫療及相關藥物。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=285
衛部健食字第A00263號,衛署健食字,櫻桃姬補鐵精華液,2014/10/16,黑松股份有限公司,核可,亞鐵,促進鐵吸收,經動物實驗結果：1.有助於促進鐵吸收2.有助於增加血紅素生成,1.孕婦或接受醫師治療者，請與醫生商討後再飲用。 2.本產品為健康食品不能取代正規醫療及相關藥品，有病者仍需就醫。 3.非缺鐵性貧血患者，請洽詢醫師或營養師後再飲用。,1.本產品供保健用，請依建議攝取量食用。2.請洽詢醫師或營養師有關食用本產品之意見；均衡的飲食及適當的運動為身體健康之基礎。3.本產品含草本素材，如有沉澱，請搖勻後飲用。4.本產品添加西洋牡荊(聖潔莓)，兒童、孕婦、哺乳婦及服用排卵藥物(Clomid)者不宜飲用。5.過敏原:本產品之綜合維生素 B 群內含有乳糖。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=278
衛部健食字第A00264號,衛署健食字,每朝健康氣泡茶風味飲料,2014/12/18,維他露食品股份有限公司,核可,難消化性麥芽糊精,不易形成體脂肪,經動物實驗結果：有助於不易形成體脂肪。在嚴謹的營養均衡與熱量控制，以及適當的運動條件下，適量攝取本產品有助於不易形成體脂肪。,(1)生長發育中兒童及青少年不建議食用。(2)有腎臟病患者請諮詢醫師的意見。(3)本產品含難消化性麥芽糊精，飲用後可能產生排氣與脹氣現象，若有不適者，請停止飲用。,(1)本產品不能取代正規醫療及相關藥品，使用前建議諮詢醫師的意見，多食無益。(2)均衡的飲食及適當的運動為身體健康之基礎。(3)本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=287
衛部健食字第A00265號,衛署健食字,ADR-1益生菌膠囊,2014/10/03,景岳生物科技股份有限公司,核可,羅伊氏乳桿菌(Lactobacillus reuteri),調節血糖,「經動物實驗結果：對血糖值偏高者，具有輔助調節作用。」,嬰幼兒與免疫功能不全患者，請先洽詢醫師或營養師有關食用本品之意見，再決定是否使用本品。,(1) 本產品非藥品，供保健用，罹病者仍需就醫。(2) 請依建議攝取量食用，勿過量。(3) 建議食用時須與正規醫療藥物間隔30分鐘以上；若為特殊體質者，建議請先諮詢專業人士。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=277
